Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Meizu 18s Pro,MEIZU,331776,94,"2021, September 22",162.5 x 73 x 8.1 mm (6.40 x 2.87 x 0.32 in),189 g (6.67 oz),"6.7 inches, 107.6 cm2 (~90.7% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~526 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.9, 23mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS
8 MP f/2.4, 79mm (telephoto), 1/4.4"", 1.0µm, PDAF, 3x optical zoom
32 MP, f/2.2, 15mm, 130˚ (ultrawide), 1/2.8"", 0.8µm
0.3 MP, TOF 3D, f/1.4, (depth)","44 MP, f/2.4, (wide), 1/2.65”, 0.7µm","5.2, A2DP, LE","Li-Po 4500 mAh, non-removable",About 610 EUR
Meizu 18s,MEIZU,137855,44,"2021, September 22",152.4 x 69.2 x 8.2 mm (6.00 x 2.72 x 0.32 in),162 g (5.71 oz),"6.2 inches, 93.8 cm2 (~88.9% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~563 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.6, 26mm (wide), 1/1.73"", 0.8µm, PDAF, OIS
8 MP f/2.4, 79mm (telephoto), 1/4.4"", 1.0µm, PDAF, 3x optical zoom
16 MP, f/2.2, 15mm, 122˚ (ultrawide), 1/3.0"", 1.0µm","20 MP, f/2.2, 26mm (wide), 1/3.4"", 0.8µm","5.2, A2DP, LE","Li-Po 4000 mAh, non-removable",About 490 EUR
Meizu 18x,MEIZU,87494,26,"2021, September 22",165.1 x 76.4 x 8 mm (6.5 x 3.01 x 0.31 in),189 g (6.67 oz),"6.67 inches, 107.4 cm2 (~85.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF
8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (depth)","13 MP, f/2.0, (wide)","5.2, A2DP, LE","Li-Po 4300 mAh, non-removable",About 340 EUR
Meizu 18 Pro,MEIZU,423787,134,"2021, March 03",162.5 x 73 x 8.1 mm (6.40 x 2.87 x 0.32 in),189 g (6.67 oz),"6.7 inches, 107.6 cm2 (~90.7% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~526 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.9, 23mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS
8 MP f/2.4, 79mm (telephoto), 1/4.4"", 1.0µm, PDAF, 3x optical zoom
32 MP, f/2.2, 15mm, 130˚ (ultrawide), 1/2.8"", 0.8µm
0.3 MP, TOF 3D, f/1.4, (depth)","44 MP, f/2.4, (wide), 1/2.65”, 0.7µm","5.2, A2DP, LE","Li-Po 4500 mAh, non-removable",About 640 EUR
Meizu 18,MEIZU,257540,80,"2021, March 03",152.4 x 69.2 x 8.2 mm (6.00 x 2.72 x 0.32 in),162 g (5.71 oz),"6.2 inches, 93.8 cm2 (~88.9% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~563 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.6, 26mm (wide), 1/1.73"", 0.8µm, PDAF, OIS
8 MP f/2.4, 79mm (telephoto), 1/4.4"", 1.0µm, PDAF, 3x optical zoom
16 MP, f/2.2, 15mm, 122˚ (ultrawide), 1/3.0"", 1.0µm","20 MP, f/2.2, 26mm (wide), 1/3.4"", 0.8µm","5.2, A2DP, LE","Li-Po 4000 mAh, non-removable",About 560 EUR
Meizu 17 Pro,MEIZU,484567,120,"2020, May 08",160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in),219 g (7.72 oz),"6.6 inches, 106.9 cm2 (~86.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)",No,"128GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF
8 MP, f/2.4, 79mm (telephoto), 1.0µm, PDAF
32 MP, f/2.2, 15mm, 129˚ (ultrawide), 1/2.8"", 0.8µm
0.3 MP, TOF 3D, f/1.4, (depth)","20 MP, f/2.2, (wide), 0.8µm","5.1, A2DP, LE","Li-Po 4500 mAh, non-removable",About 560 EUR
Meizu 17,MEIZU,411951,96,"2020, May 08",160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in),199 g (7.02 oz),"6.6 inches, 106.9 cm2 (~86.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF
12 MP, f/1.9, 24mm (wide), 1/2.55"", 1.4µm, PDAF
8 MP, f/2.2, 16mm, 118˚ (ultrawide), 1/4.0"", 1.12µm
5 MP, f/1.9, (macro)","20 MP, f/2.2, (wide), 0.8µm","5.1, A2DP, LE","Li-Po 4500 mAh, non-removable",About 530 EUR
Meizu 16T,MEIZU,457144,99,"2019, October",159.6 x 78.2 x 8.3 mm (6.28 x 3.08 x 0.33 in),183 g (6.46 oz),"6.5 inches, 106.3 cm2 (~85.2% screen-to-body ratio)","1080 x 2232 pixels, 18.5:9 ratio (~382 ppi density)",No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","12 MP, f/1.9, 24mm (wide), 1/2.55"", 1.4µm, PDAF
8 MP, f/2.2, 15mm (ultrawide), 1/4.0"", 1.12µm, PDAF
5 MP, f/1.9, 23mm (wide), 1/5.0"", 1.12µm, PDAF","16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm","5.0, A2DP, LE","Li-Po 4500 mAh, non-removable",About 250 EUR
Meizu M10,MEIZU,189562,11,"2019, September",164.9 x 76.3 x 8.5 mm (6.49 x 3.00 x 0.33 in),184 g (6.49 oz),"6.5 inches, 102.0 cm2 (~81.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",No,"32GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.0, (wide), PDAF
2 MP, f/2.2
2 MP, f/2.2","8 MP, f/2.0","4.2, A2DP, LE","Li-Po 4000 mAh, non-removable",About 180 EUR
Meizu 16s Pro,MEIZU,436291,99,"2019, August",151.9 x 73.4 x 7.7 mm (5.98 x 2.89 x 0.30 in),166 g (5.86 oz),"6.2 inches, 95.8 cm2 (~85.9% screen-to-body ratio)","1080 x 2232 pixels, 18.5:9 ratio (~403 ppi density)",No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF, OIS
20MP, f/2.6, (telephoto), 1/2.8"", 1.0µm, PDAF
16 MP, f/2.2, 16mm (ultrawide), 1/3.6"", 1.0µm","20MP, f/2.2","5.0, A2DP, LE","Li-Po 3600 mAh, non-removable",About 340 EUR
Meizu 16Xs,MEIZU,412178,66,"2019, May",152 x 74.4 x 8.3 mm (5.98 x 2.93 x 0.33 in),165 g (5.82 oz),"6.2 inches, 95.8 cm2 (~84.7% screen-to-body ratio)","1080 x 2232 pixels, 18.5:9 ratio (~403 ppi density)",No,"64GB 6GB RAM, 128GB 6GB RAM","48 MP, f/1.7, 13mm (ultrawide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2
5 MP, f/1.9, (depth)","16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm","5.0, A2DP, LE","Li-Po 4000 mAh, non-removable",About 220 EUR
Meizu 16s,MEIZU,591299,129,"2019, April",151.9 x 73.4 x 7.6 mm (5.98 x 2.89 x 0.30 in),165 g (5.82 oz),"6.2 inches, 97.2 cm2 (~87.2% screen-to-body ratio)","1080 x 2232 pixels, 18.5:9 ratio (~400 ppi density)",No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF, OIS
20MP, f/2.6, (telephoto), PDAF","20MP, f/2.2","5.0, A2DP, LE","Li-Po 3600 mAh, non-removable",About 420 EUR
Meizu Note 9,MEIZU,543545,85,"2019, March",153.1 x 74.4 x 8.7 mm (6.03 x 2.93 x 0.34 in),170 g (6.00 oz),"6.2 inches, 96.4 cm2 (~84.7% screen-to-body ratio)","1080 x 2244 pixels, 18.7:9 ratio (~403 ppi density)",No,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM","48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF
5 MP, f/2.4, (depth)","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm","5.0, A2DP, LE","Li-Ion 4000 mAh, non-removable",About 200 EUR
Meizu Zero,MEIZU,388123,65,"2019, January",-,-,"5.99 inches, 88.1 cm2","1080 x 2340 pixels, 19.5:9 ratio (~430 ppi density)",No,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","12 MP, f/1.8, 27mm (wide), 1/2.3"", 1.55µm, PDAF
20 MP, PDAF","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm","5.0, A2DP, LE","Li-Ion, non-removable",
Meizu C9 Pro,MEIZU,221139,7,"2018, December",146.2 x 71.2 x 9.7 mm (5.76 x 2.80 x 0.38 in),150 g (5.29 oz),"5.45 inches, 76.7 cm2 (~73.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",microSDXC,32GB 3GB RAM,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF","13 MP, f/2.0, (wide), 1/3.1"", 1.12µm","4.1, A2DP, LE","Li-Ion 3000 mAh, removable",About 110 EUR
Meizu C9,MEIZU,316364,14,"2018, December",146.2 x 71.2 x 9.7 mm (5.76 x 2.80 x 0.38 in),150 g (5.29 oz),"5.45 inches, 76.7 cm2 (~73.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF","8 MP, f/2.2, 1/4"", 1.12µm","4.1, A2DP, LE","Li-Ion 3000 mAh, removable",About 90 EUR
Meizu Note 8,MEIZU,390024,40,"2018, October",153.6 x 75.5 x 7.9 mm (6.05 x 2.97 x 0.31 in),168 g (5.93 oz),"6.0 inches, 92.9 cm2 (~80.1% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",No,64GB 4GB RAM,"12 MP, f/1.9, 1/2.55"", 1.4µm, Dual Pixel PDAF
5 MP, f/2.4, (depth)","8 MP, f/2.0","4.2, A2DP, LE","Li-Ion 3600 mAh, non-removable",About 200 EUR
Meizu X8,MEIZU,570921,75,"2018, September",151.2 x 74.6 x 7.8 mm (5.95 x 2.94 x 0.31 in),160 g (5.64 oz),"6.2 inches, 97.6 cm2 (~86.5% screen-to-body ratio)","1080 x 2220 pixels, 18.5:9 ratio (~398 ppi density)",No,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM","12 MP, f/1.9, 1/2.55"", 1.4µm, Dual Pixel PDAF
5 MP","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm","5.0, A2DP, LE","Li-Ion 3210 mAh, non-removable",About 200 EUR
Meizu V8 Pro,MEIZU,165708,14,"2018, September",147.5 x 72.7 x 8.1 mm (5.81 x 2.86 x 0.32 in),159 g (5.61 oz),"5.7 inches, 83.8 cm2 (~78.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",microSDXC,64GB 4GB RAM,"12 MP, f/2.2, AF
5 MP, f/2.2","5 MP, f/1.9","5.0, A2DP, LE","Li-Ion 3100 mAh, non-removable",About 150 EUR
Meizu V8,MEIZU,124599,5,"2018, September",148 x 73 x 8.4 mm (5.83 x 2.87 x 0.33 in),145 g (5.11 oz),"5.7 inches, 83.8 cm2 (~77.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",microSDXC,32GB 3GB RAM,"13 MP, f/2.2, AF","5 MP, f/1.9","4.2, A2DP, LE","Li-Ion 3200 mAh, non-removable",About 100 EUR
