Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Blackview A85,BLACKVIEW,19038,11,"2022, November 22",164.3 x 76.1 x 8.7 mm (6.47 x 3.00 x 0.34 in),193 g (6.81 oz),"6.5 inches, 101.5 cm2 (~81.2% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~272 ppi density)",microSDXC (dedicated slot),128GB 8GB RAM,"50 MP, (wide), 1/2.76"", 0.64µm, PDAF
8 MP, 120˚ (ultrawide)","8 MP, (wide), 1/4"", 1.12µm",Yes,"Li-Ion 4480 mAh, non-removable",$ 129.99 / € 189.99 / £ 179.99
Blackview A52,BLACKVIEW,8474,2,"2022, November 22",164.2 x 62 x 9.1 mm (6.46 x 2.44 x 0.36 in),183.6 g (6.49 oz),"6.5 inches, 102.0 cm2 (~100.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (uses shared SIM slot),32GB 2GB RAM,"13 MP
other unspecified camera",5 MP,"4.2, A2DP","Li-Ion 5180 mAh, non-removable",$ 75.59 / € 104.99 / £ 89.99
Blackview BV7200,BLACKVIEW,10897,2,"2022, October 26",165.3 x 81.6 x 16 mm (6.51 x 3.21 x 0.63 in),288 g (10.16 oz),"6.1 inches, 91.3 cm2 (~67.7% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",microSDXC (uses shared SIM slot),128GB 6GB RAM,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF
8 MP, 117˚ (ultrawide)","8 MP, f/2.2, (wide), 1/4"", 1.12µm","5.0, A2DP, LE","Li-Po 5180 mAh, non-removable",About 250 EUR
Blackview Oscal C80,BLACKVIEW,29441,3,"2022, September 07",164.2 x 76 x 8.6 mm (6.46 x 2.99 x 0.34 in),188 g (6.63 oz),"6.5 inches, 102.0 cm2 (~81.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (uses shared SIM slot),128GB 8GB RAM,"50 MP, (wide), 1.2µm, PDAF
0.3 MP, (depth)",8 MP,"5.0, A2DP, LE","Li-Ion 5180 mAh, non-removable",About 130 EUR
Blackview BV5200,BLACKVIEW,12384,2,"2022, September 07",161.6 x 77.9 x 13.7 mm (6.36 x 3.07 x 0.54 in),268 g (9.45 oz),"6.1 inches, 91.3 cm2 (~72.6% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",microSDXC (uses shared SIM slot),32GB 4GB RAM,"13 MP, (wide), PDAF
Secondary unspecified camera",5 MP,"5.0, A2DP, LE","Li-Ion 5180 mAh, non-removable",About 120 EUR
Blackview BV7100,BLACKVIEW,18357,7,"2022, September 07",174 x 81.4 x 18.9 mm (6.85 x 3.20 x 0.74 in),460 g (1.01 lb),"6.58 inches, 104.3 cm2 (~73.6% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",microSDXC (uses shared SIM slot),128GB 6GB RAM,"12 MP, f/2.0, (wide), 1/2.55"", 1.4µm, Dual Pixel AF
8 MP, 117˚ (ultrawide)
2 MP, (depth)",8 MP,"5.0, A2DP, LE","Li-Ion 13000 mAh, non-removable",About 220 EUR
Blackview BL8800 Pro,BLACKVIEW,73381,13,"2022, May 09",176.2 x 83.5 x 17.7 mm (6.94 x 3.29 x 0.70 in),367 g (12.95 oz),"6.58 inches, 104.3 cm2 (~70.9% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",No,128GB 8GB RAM,"50 MP, f/1.8, (wide), PDAF
5 MP, thermal assisted camera
FLIR thermal camera (Lepton module)
2x 2 MP, (depth)","16 MP, f/2.0, (wide)","5.1, A2DP, LE","Li-Po 8380 mAh, non-removable",$ 284.99
Blackview BL8800,BLACKVIEW,24396,1,"2022, May 09",176.2 x 83.5 x 17.7 mm (6.94 x 3.29 x 0.70 in),367 g (12.95 oz),"6.58 inches, 104.3 cm2 (~70.9% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",No,128GB 8GB RAM,"50 MP, f/1.8, (wide), PDAF
8 MP, f/2.2, 117˚ (ultrawide)
20 MP, f/1.8, (IR camera), 2 IR emitters
2 MP, (depth)","16 MP, f/2.0, (wide)","5.1, A2DP, LE","Li-Po 8380 mAh, non-removable",About 480 EUR
Blackview A55 Pro,BLACKVIEW,28157,0,"2022, March 07",164.8 x 76.7 x 9.2 mm (6.49 x 3.02 x 0.36 in),197 g (6.95 oz),"6.53 inches, 102.9 cm2 (~81.4% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC,64GB 4GB RAM,"13 MP, f/1.9, (wide), AF
other unspecified cameras","5 MP, f/2.2, (wide)","4.1, A2DP","Li-Ion 4780 mAh, non-removable",About 130 EUR
Blackview A50,BLACKVIEW,12275,0,"2022, March 04",156.4 x 72.9 x 8.9 mm (6.16 x 2.87 x 0.35 in),156 g (5.50 oz),"6.01 inches, 88.7 cm2 (~77.8% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~286 ppi density)",microSDXC,64GB 3GB RAM,"13 MP, f/2.0, (wide), AF
other unspecified cameras","5 MP, f/2.2, (wide)","5.0, A2DP, LE","Li-Ion 4280 mAh, non-removable",About 120 EUR
Blackview A95,BLACKVIEW,49257,3,"2022, January 22",163.7 x 75.5 x 8.6 mm (6.44 x 2.97 x 0.34 in),195 g (6.88 oz),"6.53 inches, 102.9 cm2 (~83.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC,128GB 8GB RAM,"20 MP, f/1.8, (wide), PDAF
other unspecified cameras","8 MP, f/2.2, (wide)","4.2, A2DP, LE","Li-Ion 4380 mAh, non-removable",About 190 EUR
Blackview BV6600 Pro,BLACKVIEW,19613,0,"2021, September 28",159 x 79.4 x 18 mm (6.26 x 3.13 x 0.71 in),325 g (11.46 oz),"5.7 inches, 83.8 cm2 (~66.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",microSDXC,64GB 4GB RAM,"16 MP, f/2.0, (wide), PDAF
5 MP, thermal assisted camera
FLIR thermal camera (Lepton module)","8 MP, f/2.0, (wide)","5.0, A2DP, LE","Li-Po 8580 mAh, non-removable",About 260 EUR
Blackview BV6600E,BLACKVIEW,11326,0,"2021, September",159 x 79.4 x 18 mm (6.26 x 3.13 x 0.71 in),325 g (11.46 oz),"5.7 inches, 83.8 cm2 (~66.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",microSDXC,32GB 4GB RAM,"13 MP, f/2.2, (wide), AF","5 MP, f/2.2, (wide)","4.2, A2DP, LE","Li-Po 8580 mAh, non-removable",About 150 EUR
Blackview BV4900s,BLACKVIEW,10107,1,"2021, October 02",157.5 x 78.1 x 13.7 mm (6.20 x 3.07 x 0.54 in),261 g (9.21 oz),"5.7 inches, 83.8 cm2 (~68.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",microSDXC,32GB 2GB RAM,"8 MP, f/2.4, (wide), AF","5 MP, f/2.2, (wide)","4.2, A2DP, LE","Li-Po 5580 mAh, non-removable",About 120 EUR
Blackview A90,BLACKVIEW,12764,1,"2021, May 04",166.3 x 77.6 x 8.8 mm (6.55 x 3.06 x 0.35 in),185 g (6.53 oz),"6.39 inches, 100.2 cm2 (~77.7% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)",microSDXC,64GB 4GB RAM,"12 MP, f/1.8, (wide), AF
other unspecified cameras","8 MP, f/2.2, (wide)","4.2, A2DP, LE","Li-Ion 4280 mAh, non-removable",About 150 EUR
Blackview BV6600,BLACKVIEW,15878,0,"2021, March 05",159 x 79.4 x 18 mm (6.26 x 3.13 x 0.71 in),325 g (11.46 oz),"5.7 inches, 83.8 cm2 (~66.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",microSDXC,64GB 4GB RAM,"16 MP, f/2.0, (wide), PDAF","8 MP, f/2.0, (wide)","5.0, A2DP, LE","Li-Po 8580 mAh, non-removable",About 160 EUR
Blackview A100,BLACKVIEW,22337,1,"2021, June 21",166.3 x 77.6 x 8.8 mm (6.55 x 3.06 x 0.35 in),195 g (6.88 oz),"6.67 inches, 107.4 cm2 (~83.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",microSDXC,128GB 6GB RAM,"12 MP, f/1.8, (wide), Dual Pixel PDAF
8 MP, (ultrawide)
0.3 MP, (depth)","8 MP, (wide)","4.2, A2DP, LE","Li-Ion 4680 mAh, non-removable",About 180 EUR
Blackview BL5000,BLACKVIEW,14874,5,"2021, July 29",164 x 80.4 x 12.8 mm (6.46 x 3.17 x 0.50 in),273 g (9.63 oz),"6.36 inches, 100.4 cm2 (~76.1% screen-to-body ratio)",1080 x 2300 pixels (~400 ppi density),No,128GB 8GB RAM,"12 MP, f/1.8, (wide), PDAF
16 MP, 125˚ (ultrawide)","16 MP, f/2.0, (wide)","5.2, A2DP, LE","Li-Po 4980 mAh, non-removable",About 260 EUR
Blackview A70,BLACKVIEW,11925,1,"2021, January 26",165.3 x 77.5 x 8.3 mm (6.51 x 3.05 x 0.33 in),205 g (7.23 oz),"6.52 inches, 102.6 cm2 (~80.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC,32GB 3GB RAM,"13 MP, f/2.2, (wide), AF
other unspecified cameras","5 MP, f/2.2, (wide)","4.2, A2DP, LE","Li-Ion 5380 mAh, non-removable",About 120 EUR
Blackview A80s,BLACKVIEW,12648,1,"2021, January 12",157.6 x 76.3 x 8.8 mm (6.20 x 3.00 x 0.35 in),180 g (6.35 oz),"6.22 inches, 96.6 cm2 (~80.3% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",microSDXC,64GB 4GB RAM,"13 MP, f/2.2, (wide), AF
other unspecified cameras","5 MP, (wide)","4.2, A2DP, LE","Li-Ion 4200 mAh, non-removable",About 130 EUR
