Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
TCL 405,TCL,15289,7,"2022, November 02",164.7 x 75.4 x 9 mm (6.48 x 2.97 x 0.35 in),190 g (6.70 oz),"6.6 inches, 105.2 cm2 (~84.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",microSDXC (dedicated slot),"32GB 2GB RAM, 64GB 2GB RAM","13 MP, f/2.2, 27mm (wide) 1/3.06"", 1.12µm, PDAF
2 MP, f/2.4, (depth)","5 MP, f/2.2, 27mm (wide) 1/5.0"", 1.12µm","5.1, A2DP, LE","Li-Po 5000 mAh, non-removable",€ 138.99
TCL 30 XL,TCL,24862,10,"2022, June 01",172.2 x 77 x 9.1 mm (6.78 x 3.03 x 0.36 in),204.4 g (7.20 oz),"6.82 inches, 110.5 cm2 (~83.3% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),microSDXC (dedicated slot),64GB 6GB RAM,"50 MP, f/1.9, 29mm (wide), PDAF
5 MP, 17mm, 115˚ (ultrawide)
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","13 MP, (wide)",Yes,"Li-Ion 5000 mAh, non-removable",$ 169.99
TCL 40R,TCL,32604,8,"2022, October 26",164.5 x 75.4 x 9 mm (6.48 x 2.97 x 0.35 in),192 g (6.77 oz),"6.6 inches, 104.6 cm2 (~84.4% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide), 1/4"", 1.12µm","5.1, A2DP, LE","Li-Po 5000 mAh, non-removable",About 240 EUR
TCL Stylus,TCL,128141,22,"2022, June 02",169.6 x 76.5 x 9 mm (6.68 x 3.01 x 0.35 in),213 g (7.51 oz),"6.81 inches, 110.1 cm2 (~84.9% screen-to-body ratio)",1080 x 2460 pixels (~395 ppi density),microSDXC (dedicated slot),128GB 4GB RAM,"50 MP, f/1.8, 28mm (wide), 1/2.76"", 0.64µm, PDAF
5 MP, 115˚ (ultrawide)
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","13 MP, f/2.3, 19mm (ultrawide), 1/3"", 1.12µm","5.2, A2DP, LE","Li-Ion 4000 mAh, non-removable",About 240 EUR
TCL 30 5G,TCL,117982,18,"2022, February 27",164.5 x 75.2 x 7.7 mm (6.48 x 2.96 x 0.30 in),184 g (6.49 oz),"6.7 inches, 108.4 cm2 (~87.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","50 MP, f/1.8, 28mm (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","13 MP, f/2.3, 19mm (ultrawide), 1/3"", 1.12µm","5.1, A2DP, LE","Li-Po 5010 mAh, non-removable",About 250 EUR
TCL 30+,TCL,89543,18,"2022, February 27",164.5 x 75.2 x 7.7 mm (6.48 x 2.96 x 0.30 in),184 g (6.49 oz),"6.7 inches, 108.4 cm2 (~87.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",microSDXC (dedicated slot),128GB 4GB RAM,"50 MP, f/1.9, 28mm (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","13 MP, f/2.3, 19mm (ultrawide), 1/3"", 1.12µm","5.0, A2DP, LE","Li-Po 5010 mAh, non-removable",About 220 EUR
TCL 30,TCL,47529,12,"2022, February 27",164.5 x 75.2 x 7.7 mm (6.48 x 2.96 x 0.30 in),184 g (6.49 oz),"6.7 inches, 108.4 cm2 (~87.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",microSDXC (dedicated slot),64GB 4GB RAM,"50 MP, f/1.9, 28mm (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","8 MP, f/2.0, 26mm (wide), 1/4"", 1.12µm","5.0, A2DP, LE","Li-Po 5010 mAh, non-removable",About 200 EUR
TCL 30 SE,TCL,79460,7,"2022, February 27",165.2 x 75.5 x 8.9 mm (6.50 x 2.97 x 0.35 in),190 g (6.70 oz),"6.52 inches, 102.6 cm2 (~82.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","50 MP, f/1.9, 28mm (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","8 MP, f/2.0, 26mm (wide), 1/4"", 1.12µm","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",
TCL 30E,TCL,27990,6,"2022, February 27",165.2 x 75.5 x 8.9 mm (6.50 x 2.97 x 0.35 in),190 g (6.70 oz),"6.52 inches, 102.6 cm2 (~82.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated slot),64GB 3GB RAM,"50 MP, f/1.9, 28mm (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (depth)","5 MP, f/2.2, 28mm (wide), 1/5"", 1.12µm","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",
TCL 306,TCL,25311,4,"2022, January 31",165.2 x 75.5 x 8.9 mm (6.50 x 2.97 x 0.35 in),190 g (6.70 oz),"6.52 inches, 102.6 cm2 (~82.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, f/2.2, 27mm (wide) 1/3.0"", 1.12µm, PDAF
2 MP, f/2.4, (depth)
2 MP, f/2.4, (macro)","5 MP, f/2.2, 27mm (wide) 1/5.0"", 1.12µm","5.0, A2DP","Li-Po 5000 mAh, non-removable",About 40 EUR
TCL 305,TCL,52732,7,"2022, January 31",165.2 x 75.5 x 8.9 mm (6.50 x 2.97 x 0.35 in),190 g (6.70 oz),"6.52 inches, 102.6 cm2 (~82.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated slot),"32GB 2GB RAM, 64GB 2GB RAM","13 MP, f/2.2, 27mm (wide) 1/3.0"", 1.12µm, PDAF
2 MP, f/2.4, (depth)
2 MP, f/2.4, (macro)","5 MP, f/2.2, 27mm (wide) 1/5.0"", 1.12µm","5.0, A2DP","Li-Po 5000 mAh, non-removable",About 200 EUR
